txn_ref_id,sys_a_date,sys_a_amount_attribute_1,sys_a_amount_attribute_2,sys_b_date,sys_b_amount_attribute_1,sys_b_amount_attribute_2,txn_type,payment_method,recon_status,recon_sub_status,currency_type
51193080,29/07/24,28000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
45013796,27/07/24,108,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
46885315,23/07/24,2016,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
47221480,07/08/24,150,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
50157984,06/08/24,132.5,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
30529465,13/08/24,300,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
30725357,13/08/24,555,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
30385965,13/08/24,100.3000031,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
54749274,26/08/24,3358.100098,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
35025502,26/08/24,495.5,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
27937114,26/08/24,57,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
64406097,26/08/24,3,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
43351344,26/08/24,3050,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
29630654,26/08/24,406,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
25544476,26/08/24,16,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
23126828,26/08/24,8500,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
